TeamID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,BALL,BALL,BALL,BALL
PlayerID,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,0,0,0,0,1,1,1,1,3,3,3,3,4,4,4,4,5,5,5,5,BALL,BALL,BALL,BALL
Attributes,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width
frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,177,2717,913,86,162,2149,881,85,165,3149,1081,211,137,1424,850,73,188,2635,989,90,163,2829,961,79,173,1400,897,94,156,2809,910,79,154,1567,862,82,139,1363,833,74,35,3315,1172,40
2,177,2718.965517,913.3448276,86,162.0869565,2150.26087,881.3913043,84.82608696,163.3333333,3165.333333,1085,190.3333333,137.15,1420.725,850.2625,73.1375,188.1891892,2637.162162,990.0540541,90.24324324,163.6296296,2831.777778,962,79.92592593,173.1851852,1399.555556,896.8518519,93.74074074,156,2808.66129,909.9516129,79,154,1566.428571,862.0952381,82,139,1363.034188,832.982906,74,35,3318,1193.5,40
3,177,2720.931034,913.6896552,86,162.173913,2151.521739,881.7826087,84.65217391,161.6666667,3181.666667,1089,169.6666667,137.3,1417.45,850.525,73.275,188.3783784,2639.324324,991.1081081,90.48648649,164.2592593,2834.555556,963,80.85185185,173.3703704,1399.111111,896.7037037,93.48148148,156,2808.322581,909.9032258,79,154,1565.857143,862.1904762,82,139,1363.068376,832.965812,74,35,3321,1215,40
4,177,2722.896552,914.0344828,86,162.2608696,2152.782609,882.173913,84.47826087,160,3198,1093,149,137.45,1414.175,850.7875,73.4125,188.5675676,2641.486486,992.1621622,90.72972973,164.8888889,2837.333333,964,81.77777778,173.5555556,1398.666667,896.5555556,93.22222222,156,2807.983871,909.8548387,79,154,1565.285714,862.2857143,82,139,1363.102564,832.9487179,74,35,3328,1229,40
5,177,2724.862069,914.3793103,86,162.3478261,2154.043478,882.5652174,84.30434783,165.4,3203.2,1092.8,157.2,137.6,1410.9,851.05,73.55,188.7567568,2643.648649,993.2162162,90.97297297,165.5185185,2840.111111,965,82.7037037,173.7407407,1398.222222,896.4074074,92.96296296,156,2807.645161,909.8064516,79,154,1564.714286,862.3809524,82,139,1363.136752,832.9316239,74,35,3333.666667,1216.666667,40
6,177,2726.827586,914.7241379,86,162.4347826,2155.304348,882.9565217,84.13043478,170.8,3208.4,1092.6,165.4,137.75,1407.625,851.3125,73.6875,188.9459459,2645.810811,994.2702703,91.21621622,166.1481481,2842.888889,966,83.62962963,173.9259259,1397.777778,896.2592593,92.7037037,156,2807.306452,909.7580645,79,154,1564.142857,862.4761905,82,139,1363.17094,832.9145299,74,35,3339.333333,1204.333333,40
7,177,2728.793103,915.0689655,86,162.5217391,2156.565217,883.3478261,83.95652174,176.2,3213.6,1092.4,173.6,137.9,1404.35,851.575,73.825,189.1351351,2647.972973,995.3243243,91.45945946,166.7777778,2845.666667,967,84.55555556,174.1111111,1397.333333,896.1111111,92.44444444,156,2806.967742,909.7096774,79,154,1563.571429,862.5714286,82,139,1363.205128,832.8974359,74,35,3345,1192,40
8,177,2730.758621,915.4137931,86,162.6086957,2157.826087,883.7391304,83.7826087,181.6,3218.8,1092.2,181.8,138.05,1401.075,851.8375,73.9625,189.3243243,2650.135135,996.3783784,91.7027027,167.4074074,2848.444444,968,85.48148148,174.2962963,1396.888889,895.962963,92.18518519,156,2806.629032,909.6612903,79,154,1563,862.6666667,82,139,1363.239316,832.8803419,74,35,3352.333333,1182,40
9,177,2732.724138,915.7586207,86,162.6956522,2159.086957,884.1304348,83.60869565,187,3224,1092,190,138.2,1397.8,852.1,74.1,189.5135135,2652.297297,997.4324324,91.94594595,168.037037,2851.222222,969,86.40740741,174.4814815,1396.444444,895.8148148,91.92592593,156,2806.290323,909.6129032,79,154,1562.428571,862.7619048,82,139,1363.273504,832.8632479,74,35,3359.666667,1172,40
10,177,2734.689655,916.1034483,86,162.7826087,2160.347826,884.5217391,83.43478261,186.6666667,3241.666667,1092.166667,184.3333333,138.35,1394.525,852.3625,74.2375,189.7027027,2654.459459,998.4864865,92.18918919,168.6666667,2854,970,87.33333333,174.6666667,1396,895.6666667,91.66666667,156,2805.951613,909.5645161,79,154,1561.857143,862.8571429,82,139,1363.307692,832.8461538,74,35,3367,1162,40
11,177,2736.655172,916.4482759,86,162.8695652,2161.608696,884.9130435,83.26086957,186.3333333,3259.333333,1092.333333,178.6666667,138.5,1391.25,852.625,74.375,189.8918919,2656.621622,999.5405405,92.43243243,169.2962963,2856.777778,971,88.25925926,174.8518519,1395.555556,895.5185185,91.40740741,156,2805.612903,909.516129,79,154,1561.285714,862.952381,82,139,1363.34188,832.8290598,74,35,3374.666667,1155,40
12,177,2738.62069,916.7931034,86,162.9565217,2162.869565,885.3043478,83.08695652,186,3277,1092.5,173,138.65,1387.975,852.8875,74.5125,190.0810811,2658.783784,1000.594595,92.67567568,169.9259259,2859.555556,972,89.18518519,175.037037,1395.111111,895.3703704,91.14814815,156,2805.274194,909.4677419,79,154,1560.714286,863.047619,82,139,1363.376068,832.8119658,74,35,3382.333333,1148,40
13,177,2740.586207,917.137931,86,163.0434783,2164.130435,885.6956522,82.91304348,185.6666667,3294.666667,1092.666667,167.3333333,138.8,1384.7,853.15,74.65,190.2702703,2660.945946,1001.648649,92.91891892,170.5555556,2862.333333,973,90.11111111,175.2222222,1394.666667,895.2222222,90.88888889,156,2804.935484,909.4193548,79,154,1560.142857,863.1428571,82,139,1363.410256,832.7948718,74,35,3390,1141,40
14,177,2742.551724,917.4827586,86,163.1304348,2165.391304,886.0869565,82.73913043,185.3333333,3312.333333,1092.833333,161.6666667,138.95,1381.425,853.4125,74.7875,190.4594595,2663.108108,1002.702703,93.16216216,171.1851852,2865.111111,974,91.03703704,175.4074074,1394.222222,895.0740741,90.62962963,156,2804.596774,909.3709677,79,154,1559.571429,863.2380952,82,139,1363.444444,832.7777778,74,35,3395.333333,1138,40
15,177,2744.517241,917.8275862,86,163.2173913,2166.652174,886.4782609,82.56521739,185,3330,1093,156,139.1,1378.15,853.675,74.925,190.6486486,2665.27027,1003.756757,93.40540541,171.8148148,2867.888889,975,91.96296296,175.5925926,1393.777778,894.9259259,90.37037037,156,2804.258065,909.3225806,79,154,1559,863.3333333,82,139,1363.478632,832.7606838,74,35,3400.666667,1135,40
16,177,2746.482759,918.1724138,86,163.3043478,2167.913043,886.8695652,82.39130435,190.125,3342.25,1094.5,155.625,139.25,1374.875,853.9375,75.0625,190.8378378,2667.432432,1004.810811,93.64864865,172.4444444,2870.666667,976,92.88888889,175.7777778,1393.333333,894.7777778,90.11111111,156,2803.919355,909.2741935,79,154,1558.428571,863.4285714,82,139,1363.512821,832.7435897,74,35,3406,1132,40
17,177,2748.448276,918.5172414,86,163.3913043,2169.173913,887.2608696,82.2173913,195.25,3354.5,1096,155.25,139.4,1371.6,854.2,75.2,191.027027,2669.594595,1005.864865,93.89189189,173.0740741,2873.444444,977,93.81481481,175.962963,1392.888889,894.6296296,89.85185185,156,2803.580645,909.2258065,79,154,1557.857143,863.5238095,82,139,1363.547009,832.7264957,74,35,3411,1131.666667,40
18,177,2750.413793,918.862069,86,163.4782609,2170.434783,887.6521739,82.04347826,200.375,3366.75,1097.5,154.875,139.55,1368.325,854.4625,75.3375,191.2162162,2671.756757,1006.918919,94.13513514,173.7037037,2876.222222,978,94.74074074,176.1481481,1392.444444,894.4814815,89.59259259,156,2803.241935,909.1774194,79,154,1557.285714,863.6190476,82,139,1363.581197,832.7094017,74,35,3416,1131.333333,40
19,177,2752.37931,919.2068966,86,163.5652174,2171.695652,888.0434783,81.86956522,205.5,3379,1099,154.5,139.7,1365.05,854.725,75.475,191.4054054,2673.918919,1007.972973,94.37837838,174.3333333,2879,979,95.66666667,176.3333333,1392,894.3333333,89.33333333,156,2802.903226,909.1290323,79,154,1556.714286,863.7142857,82,139,1363.615385,832.6923077,74,35,3421,1131,40
20,177,2754.344828,919.5517241,86,163.6521739,2172.956522,888.4347826,81.69565217,210.625,3391.25,1100.5,154.125,139.85,1361.775,854.9875,75.6125,191.5945946,2676.081081,1009.027027,94.62162162,174.962963,2881.777778,980,96.59259259,176.5185185,1391.555556,894.1851852,89.07407407,156,2802.564516,909.0806452,79,154,1556.142857,863.8095238,82,139,1363.649573,832.6752137,74,35,3426,1134,40
21,177,2756.310345,919.8965517,86,163.7391304,2174.217391,888.826087,81.52173913,215.75,3403.5,1102,153.75,140,1358.5,855.25,75.75,191.7837838,2678.243243,1010.081081,94.86486486,175.5925926,2884.555556,981,97.51851852,176.7037037,1391.111111,894.037037,88.81481481,156,2802.225806,909.0322581,79,154,1555.571429,863.9047619,82,139,1363.683761,832.6581197,74,35,3431,1137,40
